party,variable,value,value_label,respondents,total,pct
MAGA Right,faminc_new,11,$120-150K,275.2447580985136,4114.412476428006,0.06689770645880207
MAGA Right,faminc_new,12,$150-200K,205.65027655975314,4114.412476428006,0.049982902234024865
MAGA Right,faminc_new,13,$200-250K,96.89255548556403,4114.412476428006,0.023549548335436432
MAGA Right,faminc_new,14,$250-350K,59.964126533639856,4114.412476428006,0.014574165054471809
MAGA Right,faminc_new,15,$350-500K,31.363110509442766,4114.412476428006,0.007622743390247338
MAGA Right,faminc_new,16,>500K,21.935143458253187,4114.412476428006,0.005331294220966522
MAGA Right,faminc_new,97,Prefer not to say,538.2443479785792,4114.412476428006,0.13081924844974824
MAGA Right,gender4,1,Man,2127.2662438768157,4114.412476428012,0.5170279489633556
MAGA Right,gender4,2,Woman,1977.8003934835185,4114.412476428012,0.48070056291501795
MAGA Right,gender4,3,Non-binary,4.0874728113228675,4114.412476428012,9.93452366465568e-4
MAGA Right,gender4,4,Other,5.258366256354373,4114.412476428012,0.0012780357551607224
MAGA Right,race,1,White,2953.2565377755686,4114.412476428008,0.7177832934094845
MAGA Right,race,2,Black,312.0440251064612,4114.412476428008,0.07584169717892922
MAGA Right,race,3,Hispanic,334.4231055079321,4114.412476428008,0.08128088941589708
MAGA Right,race,4,Asian,141.68055347454447,4114.412476428008,0.034435184679769075
MAGA Right,race,5,Native American,68.20475281671175,4114.412476428008,0.016577033344970987
MAGA Right,race,6,2+ races,183.76490639595448,4114.412476428008,0.04466370531607295
MAGA Right,race,7,Other,118.34532534186113,4114.412476428008,0.028763602584786174
MAGA Right,race,8,Middle Eastern,2.6932700089733275,4114.412476428008,6.545940700898157e-4
Moderate Left,educ,1,No HS,462.2568876924228,7719.2288905650275,0.05988381666689855
Moderate Left,educ,2,HS grad,1744.1494227769963,7719.2288905650275,0.2259486598342505
Moderate Left,educ,3,Some college,1728.9129735805457,7719.2288905650275,0.22397482936329846
Moderate Left,educ,4,2-year,809.7192220342457,7719.2288905650275,0.10489638712798635
Moderate Left,educ,5,4-year,1833.1366561365342,7719.2288905650275,0.23747665500334106
Moderate Left,educ,6,Post-grad,1141.0537283442825,7719.2288905650275,0.14781965200422503
Moderate Left,faminc_new,1,<10K,476.09488951178986,7719.228890565035,0.06167648300903544
Moderate Left,faminc_new,2,$10-20K,571.1928651961526,7719.228890565035,0.07399610418267338
Moderate Left,faminc_new,3,$20-30K,633.4281673524674,7719.228890565035,0.08205847712673559
Moderate Left,faminc_new,4,$30-40K,682.2552022779021,7719.228890565035,0.08838385439144066
Moderate Left,faminc_new,5,$40-50K,540.2354437112303,7719.228890565035,0.06998567491262538
Moderate Left,faminc_new,6,$50-60K,561.9516597512526,7719.228890565035,0.07279893726666248
Moderate Left,faminc_new,7,$60-70K,489.5353207255773,7719.228890565035,0.06341764542361486
Moderate Left,faminc_new,8,$70-80K,514.1483438719637,7719.228890565035,0.06660617934265307
Moderate Left,faminc_new,9,$80-100K,591.1345421384062,7719.228890565035,0.07657948099724456
Moderate Left,faminc_new,10,$100-120K,496.5524253528193,7719.228890565035,0.06432668759955276
Moderate Left,faminc_new,11,$120-150K,579.8098643029394,7719.228890565035,0.07511240727835165
Moderate Left,faminc_new,12,$150-200K,438.55723502682105,7719.228890565035,0.05681360680505995
Moderate Left,faminc_new,13,$200-250K,203.98847497988095,7719.228890565035,0.026426017141324764
Moderate Left,faminc_new,14,$250-350K,151.10124242964045,7719.228890565035,0.019574655003989666
Moderate Left,faminc_new,15,$350-500K,82.57457189648184,7719.228890565035,0.010697256561132691
Moderate Left,faminc_new,16,>500K,29.064347855187428,7719.228890565035,0.0037651879827934427
Moderate Left,faminc_new,97,Prefer not to say,673.8902049407106,7719.228890565035,0.08730019727286296
Moderate Left,gender4,1,Man,3775.189073380713,7719.228890565041,0.4890629785567056
Moderate Left,gender4,2,Woman,3872.4611761876695,7719.228890565041,0.5016642505472083
Moderate Left,gender4,3,Non-binary,62.47430881385046,7719.228890565041,0.008093335448338726
Moderate Left,gender4,4,Other,9.104332182808722,7719.228890565041,0.0011794354477474619
Moderate Left,race,1,White,4596.953031207647,7719.228890565036,0.5955197204770484
Moderate Left,race,2,Black,1407.7592859258768,7719.228890565036,0.18237045511716016
Moderate Left,race,3,Hispanic,773.158321459707,7719.228890565036,0.1001600460901883
Moderate Left,race,4,Asian,461.5128851929769,7719.228890565036,0.05978743365895902
Moderate Left,race,5,Native American,48.98550692721702,7719.228890565036,0.0063459067766587956
Moderate Left,race,6,2+ races,319.3203351565845,7719.228890565036,0.04136686962954026
Moderate Left,race,7,Other,93.3964253748176,7719.228890565036,0.012099191084872873
Moderate Left,race,8,Middle Eastern,18.143099320210304,7719.228890565036,0.0023503771655723317
Nationalist Right,educ,1,No HS,470.96865303987533,9929.815116658348,0.047429750454243004
Nationalist Right,educ,2,HS grad,2718.004139593542,9929.815116658348,0.2737215252914219
Nationalist Right,educ,3,Some college,2081.243835206265,9929.815116658348,0.2095954265769512
Nationalist Right,educ,4,2-year,1035.064852502212,9929.815116658348,0.10423807899159954
Nationalist Right,educ,5,4-year,2351.960913060084,9929.815116658348,0.23685847978321498
Nationalist Right,educ,6,Post-grad,1272.5727232563704,9929.815116658348,0.12815673890256937
Nationalist Right,faminc_new,1,<10K,318.0762206089799,9929.815116658343,0.03203244137701743
Nationalist Right,faminc_new,2,$10-20K,471.0408136257957,9929.815116658343,0.047437017516627634
Nationalist Right,faminc_new,3,$20-30K,752.7725811225977,9929.815116658343,0.07580932497521932
Nationalist Right,faminc_new,4,$30-40K,757.3996012408359,9929.815116658343,0.07627529740913462
Nationalist Right,faminc_new,5,$40-50K,808.6157629755336,9929.815116658343,0.08143311365576111
Nationalist Right,faminc_new,6,$50-60K,819.6160856411876,9929.815116658343,0.08254092105563905
Nationalist Right,faminc_new,7,$60-70K,694.6181399425192,9929.815116658343,0.06995277674175643
Nationalist Right,faminc_new,8,$70-80K,709.6094060968967,9929.815116658343,0.0714624993275504
Nationalist Right,faminc_new,9,$80-100K,1034.3333534411672,9929.815116658343,0.10416441205495969
Nationalist Right,faminc_new,10,$100-120K,790.095847568048,9929.815116658343,0.07956803206160168
Nationalist Right,faminc_new,11,$120-150K,762.7997986263114,9929.815116658343,0.07681913405886398
Nationalist Right,faminc_new,12,$150-200K,515.16286403525,9929.815116658343,0.05188040844496775
Nationalist Right,faminc_new,13,$200-250K,187.65130184448185,9929.815116658343,0.018897763920062965
Nationalist Right,faminc_new,14,$250-350K,115.53969834788269,9929.815116658343,0.011635634399078821
Nationalist Right,faminc_new,15,$350-500K,39.53664704606902,9929.815116658343,0.003981609585030642
Nationalist Right,faminc_new,16,>500K,38.687157139162636,9929.815116658343,0.0038960601667457767
Nationalist Right,faminc_new,97,Prefer not to say,1098.9330277508186,9929.815116658343,0.11067003915382465
