commonweight,age,party,gender4,educ,race,faminc_new
1.34180306120121,77,Religious Moderates,Woman,HS grad,White,$100-120K
0.683011786835144,78,MAGA Right,Woman,HS grad,White,$40-50K
0.0799894942162346,67,Religious Moderates,Man,HS grad,White,<10K
0.541737730690426,87,Moderate Left,Man,Some college,White,$80-100K
1.2005636135759301,34,Religious Moderates,Woman,Post-grad,White,$60-70K
6.95909157397945,47,Moderate Left,Woman,2-year,2+ races,$100-120K
0.986365654241244,67,Disillusioned Left,Man,HS grad,White,$70-80K
0.815304156912452,81,Traditional Right,Man,2-year,White,$20-30K
0.695361792208255,69,Moderate Left,Man,HS grad,White,$30-40K
1.27417519417996,68,Progressive Left,Woman,Post-grad,White,$70-80K
1.24660000878587,72,Progressive Left,Woman,Post-grad,White,$20-30K
1.2811441929271,69,Traditional Right,Woman,Some college,White,$20-30K
0.0507500759054016,80,Moderate Left,Man,Some college,White,$20-30K
0.833272525245478,63,Nationalist Right,Man,Some college,White,$350-500K
1.08773990611973,71,Secular Moderates,Man,Post-grad,White,$80-100K
1.32345170454368,63,MAGA Right,Woman,HS grad,White,$20-30K
1.18487732329086,45,Progressive Left,Woman,HS grad,Black,<10K
0.498433521159299,50,Traditional Right,Woman,Post-grad,Asian,$250-350K
0.928878388287759,59,Religious Moderates,Woman,Some college,Hispanic,$60-70K
0.951218311226927,59,Nationalist Right,Man,4-year,Asian,$150-200K
0.357700556738858,66,Religious Moderates,Man,2-year,White,$20-30K
3.38285686108542,78,Traditional Right,Woman,Post-grad,White,$120-150K
0.497050181270574,67,Nationalist Right,Man,4-year,White,$80-100K
0.00752185734682806,58,MAGA Right,Woman,4-year,2+ races,$40-50K
1.3016720546363,54,Disillusioned Left,Woman,Post-grad,White,$120-150K
0.371423862908207,22,Progressive Left,Man,Some college,White,$70-80K
0.694028817400384,52,Traditional Right,Woman,HS grad,White,$30-40K
0.627121542968611,55,Progressive Left,Woman,HS grad,White,$70-80K
0.63119932138724,49,MAGA Right,Man,HS grad,2+ races,$10-20K
13.6128513346066,25,Progressive Left,Woman,4-year,White,$30-40K
0.0876602989815605,65,Faith-Based Conservatives,Woman,2-year,2+ races,$80-100K
1.07545265047659,66,Progressive Left,Man,4-year,White,$30-40K
0.978108191524132,66,Progressive Left,Man,4-year,White,$60-70K
1.10504782111,62,Progressive Left,Woman,Post-grad,White,$150-200K
0.279777963404586,72,Progressive Left,Woman,Some college,Black,$20-30K
1.67527382267194,66,Traditional Right,Woman,No HS,White,$20-30K
0.0284586582591352,80,Religious Moderates,Man,Post-grad,Middle Eastern,$250-350K
0.49740778997382,27,Secular Moderates,Man,2-year,Native American,$80-100K
0.494616160847892,63,Nationalist Right,Man,4-year,2+ races,$150-200K
0.936691821142406,62,Progressive Left,Woman,4-year,White,$50-60K
0.399837784517932,30,Moderate Left,Man,2-year,White,$60-70K
0.190634663544348,69,Progressive Left,Woman,Some college,Hispanic,$150-200K
0.732158527732472,45,Religious Moderates,Man,HS grad,Black,$50-60K
1.25269939572053,77,Nationalist Right,Man,4-year,White,$70-80K
1.02467016112256,54,Nationalist Right,Woman,HS grad,White,$10-20K
0.928633809532409,89,Nationalist Right,Woman,HS grad,White,$20-30K
0.221960875239652,58,Nationalist Right,Woman,HS grad,White,$40-50K
0.492056756705909,20,Progressive Left,Man,HS grad,2+ races,Prefer not to say
0.562409062685396,56,Traditional Right,Woman,HS grad,White,$80-100K
0.069160271641018,64,Moderate Left,Woman,Some college,Black,$70-80K
0.551802799553142,63,Moderate Left,Man,Some college,White,$150-200K
0.741276295112449,67,MAGA Right,Man,HS grad,White,$20-30K
3.55402725731137,79,Traditional Right,Woman,No HS,White,$40-50K
0.776335954266264,74,Nationalist Right,Woman,2-year,White,$100-120K
1.15056758135125,42,MAGA Right,Man,HS grad,White,$30-40K
1.85073005491383,61,Religious Moderates,Man,2-year,Black,$100-120K
0.844575846324387,53,Progressive Left,Woman,2-year,2+ races,$20-30K
0.278813491987736,73,MAGA Right,Man,Some college,Other,$70-80K
0.0281030503032801,44,Religious Moderates,Woman,HS grad,Black,$20-30K
0.889373290615032,57,Religious Moderates,Woman,4-year,Black,$30-40K
4.21180408563426,66,Progressive Left,Woman,Some college,Black,$50-60K
0.427032110695831,53,Progressive Left,Woman,4-year,Black,$20-30K
0.934013445361422,81,Moderate Left,Man,Some college,Asian,$70-80K
1.11478675901185,56,Nationalist Right,Woman,4-year,White,$40-50K
0.153815417571858,56,Religious Moderates,Woman,HS grad,White,<10K
3.03308053623438,74,Moderate Left,Man,HS grad,Hispanic,$20-30K
3.83361230475326,59,Moderate Left,Woman,4-year,Black,$40-50K
1.22760914331586,48,Religious Moderates,Man,HS grad,White,$60-70K
4.62848624452389,62,Traditional Right,Woman,4-year,Hispanic,$40-50K
0.884386160632284,68,Progressive Left,Woman,HS grad,White,$70-80K
0.99501637439809,83,Nationalist Right,Woman,HS grad,White,$40-50K
1.17348458009436,55,Disillusioned Left,Woman,HS grad,White,$20-30K
2.77289555980598,61,Disillusioned Left,Woman,Some college,White,$80-100K
2.02884124522824,26,Secular Moderates,Man,4-year,White,$100-120K
0.798525962049893,60,Secular Moderates,Woman,2-year,Hispanic,Prefer not to say
0.978155475048113,57,MAGA Right,Man,Post-grad,White,$120-150K
3.23932502899404,54,Religious Moderates,Man,Some college,2+ races,$40-50K
0.407292801005778,69,Moderate Left,Woman,HS grad,White,$40-50K
0.85395833294544,53,Moderate Left,Woman,4-year,White,$150-200K
0.586860267234265,40,Religious Moderates,Woman,4-year,Black,Prefer not to say
2.19492429637925,63,Progressive Left,Woman,Post-grad,White,$120-150K
0.936123317069202,85,Religious Moderates,Man,4-year,White,$60-70K
1.04942201610739,65,Religious Moderates,Woman,Post-grad,White,$50-60K
2.55436671721738,59,Progressive Left,Man,Some college,Hispanic,$40-50K
0.523542011051453,62,Religious Moderates,Woman,2-year,White,$40-50K
0.521592988517841,49,Secular Moderates,Woman,4-year,Black,$100-120K
0.983889602769094,57,Moderate Left,Man,HS grad,White,$10-20K
0.321514658215786,72,Progressive Left,Man,Some college,Black,$10-20K
0.00555610863390722,81,MAGA Right,Woman,Some college,2+ races,$120-150K
0.156137623008464,21,Disillusioned Left,Non-binary,Some college,White,$120-150K
0.0320717927027221,38,MAGA Right,Woman,No HS,Black,<10K
2.50034569177874,85,Nationalist Right,Woman,HS grad,White,$30-40K
0.606310815377539,31,Progressive Left,Woman,4-year,White,$150-200K
0.201323833927701,63,Nationalist Right,Woman,HS grad,White,$30-40K
1.15532247289908,57,Nationalist Right,Woman,4-year,White,$60-70K
0.634949128630478,75,Moderate Left,Man,Some college,Hispanic,$30-40K
0.169264779952889,60,Nationalist Right,Woman,No HS,Black,Prefer not to say
1.07152546199352,71,Religious Moderates,Woman,Some college,Black,$20-30K
0.724895671742222,80,Disillusioned Left,Man,HS grad,White,$30-40K
3.57958937831011,26,Secular Moderates,Woman,Some college,Hispanic,$20-30K
0.222051981571763,60,Traditional Right,Man,Some college,Hispanic,$20-30K
0.0142184385233702,54,Religious Moderates,Woman,HS grad,White,<10K
1.89554395938851,57,Nationalist Right,Man,HS grad,White,$150-200K
0.725247218677394,47,Nationalist Right,Man,HS grad,Black,$10-20K
0.0113613314767514,42,Nationalist Right,Man,Some college,Other,$50-60K
2.77599495857628,51,Religious Moderates,Woman,Post-grad,Asian,$50-60K
0.659045743510042,25,Progressive Left,Woman,4-year,Hispanic,$30-40K
1.14581275411904,79,Religious Moderates,Man,HS grad,White,$30-40K
0.00757701963072788,71,Moderate Left,Woman,HS grad,Hispanic,$40-50K
0.390985951063151,85,Progressive Left,Woman,HS grad,White,$10-20K
0.219648721150407,64,Nationalist Right,Man,2-year,White,$10-20K
1.88392938149971,60,Traditional Right,Man,Some college,Native American,$60-70K
